[2015/03/03 00:00:02] [15068-54F48901.00066DE2] Error job run/54F48901.00066DE2 (mqueue_open:Permission denied).
[2015/03/03 00:08:15] [14975-119874114-qq.com_1425312487.4772375.eml] Mail.RR <119874114_149_0@online-edm.com> -> <119874114@qq.com> (集享卡会员帐号激活/1544)[OK][MGHAM--0][MGTAGLOG ][utf-8]
[2015/03/03 00:10:03] [15068-54F48B59.00097B81] Error job run/54F48B59.00097B81 (mqueue_open:Permission denied).
[2015/03/03 00:20:03] [15027-54F48DB1.000A42C6] Error job run/54F48DB1.000A42C6 (mqueue_open:Permission denied).
[2015/03/03 00:30:03] [15068-54F49009.000986AA] Error job run/54F49009.000986AA (mqueue_open:Permission denied).
[2015/03/03 00:40:02] [15068-54F49261.00084575] Error job run/54F49261.00084575 (mqueue_open:Permission denied).
[2015/03/03 00:50:02] [15027-54F494B9.00079A84] Error job run/54F494B9.00079A84 (mqueue_open:Permission denied).
[2015/03/03 01:00:02] [15026-54F49711.0007A1EF] Error job run/54F49711.0007A1EF (mqueue_open:Permission denied).
[2015/03/03 01:00:02] [15026-54F49711.0009349B] Error job run/54F49711.0009349B (mqueue_open:Permission denied).
[2015/03/03 01:10:02] [15068-54F49969.00073C4F] Error job run/54F49969.00073C4F (mqueue_open:Permission denied).
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14783 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14784 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14793 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14799 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14899 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14900 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14955 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14974 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15026 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15027 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15046 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15047 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15063 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15064 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15067 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15068 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14954 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14840 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14841 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14965 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14966 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14975 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14980 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 14981 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15022 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15023 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15037 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15038 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15052 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15053 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15078 exited.(0)
[2015/03/03 01:10:03] [MASTER] Warning -- Mailer 15079 exited.(0)
[2015/03/03 01:10:03] [MASTER] Shutdown successfully.
[2015/03/03 01:20:04] [5546-54F49BC1.0003BF39] Error job run/54F49BC1.0003BF39 (mqueue_open:Permission denied).
[2015/03/03 01:30:04] [5546-54F49E19.00033398] Error job run/54F49E19.00033398 (mqueue_open:Permission denied).
[2015/03/03 01:40:04] [5546-54F4A071.00022926] Error job run/54F4A071.00022926 (mqueue_open:Permission denied).
[2015/03/03 01:50:04] [5546-54F4A2C9.000157D4] Error job run/54F4A2C9.000157D4 (mqueue_open:Permission denied).
[2015/03/03 02:00:04] [5546-54F4A521.0000A7E5] Error job run/54F4A521.0000A7E5 (mqueue_open:Permission denied).
[2015/03/03 02:10:04] [5546-54F4A77A.000303C1] Error job run/54F4A77A.000303C1 (mqueue_open:Permission denied).
[2015/03/03 02:10:04] [MASTER] Warning -- Mailer 5360 exited.(0)
[2015/03/03 02:10:04] [MASTER] Warning -- Mailer 5361 exited.(0)
[2015/03/03 02:10:04] [MASTER] Warning -- Mailer 5420 exited.(0)
[2015/03/03 02:10:04] [MASTER] Warning -- Mailer 5421 exited.(0)
[2015/03/03 02:10:04] [MASTER] Warning -- Mailer 5472 exited.(0)
[2015/03/03 02:10:04] [MASTER] Warning -- Mailer 5473 exited.(0)
[2015/03/03 02:10:04] [MASTER] Warning -- Mailer 5534 exited.(0)
